indicador,anio,valor_anual
No trabajó en la semana de referencia,2024.0,1.95
No trabajó en la semana de referencia,2025.0,1.9333333333333336
Ns/Nr,2020.0,0.1
Ns/Nr ,2023.0,0.1
Ns/Nr ,2024.0,0.07500000000000001
Ns/Nr ,2025.0,0.06666666666666667
Ocupado pleno,2020.0,19.275
Ocupado pleno,2021.0,23.2
Ocupado pleno,2022.0,24.775
Ocupado pleno,2023.0,25.475
Ocupado pleno,2024.0,25.175
Ocupado pleno,2025.0,25.400000000000002
Operativo,2020.0,19.425
Operativo,2021.0,21.575
Operativo,2022.0,23.175
Operativo,2023.0,24.825
Operativo,2024.0,24.474999999999998
Operativo,2025.0,24.666666666666668
Otras ramas (2),2020.0,0.35
Otras ramas (2),2021.0,0.525
Otras ramas (2),2022.0,0.425
Otras ramas (2),2023.0,0.475
Otras ramas (2),2024.0,0.5
Otras ramas (2),2025.0,0.43333333333333335
Otros componentes,2020.0,2.225
Otros componentes,2021.0,2.4
Otros componentes,2022.0,2.525
Otros componentes,2023.0,2.6
Otros componentes,2024.0,2.625
Otros componentes,2025.0,2.466666666666667
"Otros servicios comunitarios, sociales y personales",2020.0,2.15
"Otros servicios comunitarios, sociales y personales",2021.0,2.5
"Otros servicios comunitarios, sociales y personales",2022.0,2.725
"Otros servicios comunitarios, sociales y personales",2023.0,2.75
"Otros servicios comunitarios, sociales y personales",2024.0,2.7249999999999996
"Otros servicios comunitarios, sociales y personales",2025.0,2.7999999999999994
Patrón,2020.0,1.125
Patrón,2021.0,1.5
Patrón,2022.0,1.5250000000000001
Patrón,2023.0,1.5
Patrón,2024.0,1.45
Patrón,2025.0,1.5333333333333332
Primaria completa,2020.0,5.0
Primaria completa,2021.0,4.9
Primaria completa,2022.0,4.975
Primaria completa,2023.0,5.0
Primaria completa,2024.0,4.65
Primaria completa,2025.0,4.633333333333334
Primaria incompleta,2020.0,1.2
Primaria incompleta,2021.0,1.1
Primaria incompleta,2022.0,1.3499999999999999
Primaria incompleta,2023.0,1.175
Primaria incompleta,2024.0,1.1
Primaria incompleta,2025.0,1.0333333333333334
Privado,2020.0,30.35
Privado,2021.0,33.6
Privado,2022.0,35.6
Privado,2023.0,36.35
Privado,2024.0,36.675
Privado,2025.0,37.1
Profesional,2020.0,3.85
Profesional,2021.0,4.575
Profesional,2022.0,4.325
Profesional,2023.0,4.375
Profesional,2024.0,4.85
Profesional,2025.0,4.8999999999999995
Secundaria completa,2020.0,10.2
Secundaria completa,2021.0,11.475
Secundaria completa,2022.0,12.55
Secundaria completa,2023.0,13.6
Secundaria completa,2024.0,13.65
Secundaria completa,2025.0,14.1
Secundaria incompleta,2020.0,6.325
Secundaria incompleta,2021.0,6.925
Secundaria incompleta,2022.0,7.525
Secundaria incompleta,2023.0,7.45
Secundaria incompleta,2024.0,7.075
Secundaria incompleta,2025.0,7.099999999999999
Servicio doméstico,2020.0,2.525
Servicio doméstico,2021.0,2.425
Servicio doméstico,2022.0,2.825
Servicio doméstico,2023.0,2.875
Servicio doméstico,2024.0,2.825
Servicio doméstico,2025.0,2.8000000000000003
"Servicios financieros, de alquiler y empresariales",2020.0,4.15
"Servicios financieros, de alquiler y empresariales",2021.0,4.65
"Servicios financieros, de alquiler y empresariales",2022.0,4.7
"Servicios financieros, de alquiler y empresariales",2023.0,4.95
"Servicios financieros, de alquiler y empresariales",2024.0,5.225
"Servicios financieros, de alquiler y empresariales",2025.0,5.0
Servicios sociales y de salud,2020.0,2.65
Servicios sociales y de salud,2021.0,2.8
Servicios sociales y de salud,2022.0,2.9
Servicios sociales y de salud,2023.0,2.8249999999999997
Servicios sociales y de salud,2024.0,3.075
Servicios sociales y de salud,2025.0,3.0
Sin descuento jubilatorio (informal),2020.0,8.524999999999999
Sin descuento jubilatorio (informal),2021.0,10.0
Sin descuento jubilatorio (informal),2022.0,11.875
Sin descuento jubilatorio (informal),2023.0,12.2
Sin descuento jubilatorio (informal),2024.0,11.95
Sin descuento jubilatorio (informal),2025.0,11.933333333333332
Sin instrucción,2020.0,0.1
Sin instrucción,2021.0,0.15000000000000002
Sin instrucción,2022.0,0.15000000000000002
Sin instrucción,2023.0,0.1
Sin instrucción,2024.0,0.125
Sin instrucción,2025.0,0.10000000000000002
Sobreocupado,2020.0,9.1
Sobreocupado,2021.0,11.399999999999999
Sobreocupado,2022.0,12.35
Sobreocupado,2023.0,13.025
Sobreocupado,2024.0,12.425
Sobreocupado,2025.0,12.233333333333334
Subocupado,2020.0,5.425
Subocupado,2021.0,5.65
Subocupado,2022.0,5.125
Subocupado,2023.0,4.9
Subocupado,2024.0,5.4
Subocupado,2025.0,5.233333333333333
Superior y universitaria completa,2020.0,9.675
Superior y universitaria completa,2021.0,11.075
Superior y universitaria completa,2022.0,10.925
Superior y universitaria completa,2023.0,11.1
Superior y universitaria completa,2024.0,11.6
Superior y universitaria completa,2025.0,10.866666666666667
Superior y universitaria incompleta,2020.0,5.725
Superior y universitaria incompleta,2021.0,6.725
Superior y universitaria incompleta,2022.0,6.699999999999999
Superior y universitaria incompleta,2023.0,6.8
Superior y universitaria incompleta,2024.0,6.7
Superior y universitaria incompleta,2025.0,6.933333333333334
Tasa de empleo,2020.0,38.275
Tasa de empleo,2021.0,42.4
Tasa de empleo,2022.0,44.175
Tasa de empleo,2023.0,45.225
Tasa de empleo,2024.0,44.95
Tasa de empleo,2025.0,44.76666666666667
Trabajador familiar sin remuneración,2020.0,0.225
Trabajador familiar sin remuneración,2021.0,0.25
Trabajador familiar sin remuneración,2022.0,0.2
Trabajador familiar sin remuneración,2023.0,0.15000000000000002
Trabajador familiar sin remuneración,2024.0,0.15000000000000002
Trabajador familiar sin remuneración,2025.0,0.20000000000000004
"Transporte, almacenamiento y comunicaciones",2020.0,2.75
"Transporte, almacenamiento y comunicaciones",2021.0,3.3
"Transporte, almacenamiento y comunicaciones",2022.0,3.275
"Transporte, almacenamiento y comunicaciones",2023.0,3.275
"Transporte, almacenamiento y comunicaciones",2024.0,3.625
"Transporte, almacenamiento y comunicaciones",2025.0,3.8666666666666667
Técnico,2020.0,7.1
Técnico,2021.0,8.175
Técnico,2022.0,7.9750000000000005
Técnico,2023.0,7.8
Técnico,2024.0,7.8
Técnico,2025.0,7.666666666666667
Varones de 30 a 64 años,2020.0,15.475000000000001
Varones de 30 a 64 años,2021.0,17.549999999999997
Varones de 30 a 64 años,2022.0,18.0
Varones de 30 a 64 años,2023.0,18.275
Varones de 30 a 64 años,2024.0,18.175
Varones de 30 a 64 años,2025.0,18.266666666666666
Varones de 65 años y más,2020.0,0.9249999999999999
Varones de 65 años y más,2021.0,1.0750000000000002
Varones de 65 años y más,2022.0,1.0750000000000002
Varones de 65 años y más,2023.0,1.15
Varones de 65 años y más,2024.0,1.2
Varones de 65 años y más,2025.0,1.1666666666666667
Varones hasta 29 años,2020.0,5.1
Varones hasta 29 años,2021.0,5.475
Varones hasta 29 años,2022.0,5.75
Varones hasta 29 años,2023.0,5.85
Varones hasta 29 años,2024.0,5.6
Varones hasta 29 años,2025.0,5.6000000000000005
